region_cd,sido_cd,sgg_cd,umd_cd,ri_cd,locatjumin_cd,locatjijuk_cd,locatadd_nm,locat_order,locat_rm,locathigh_cd,locallow_nm,adpt_de
1165010400,11,650,104,00,1165010400,1165010400,서울특별시 서초구 원지동,4,,1165000000,원지동,
1165010600,11,650,106,00,1165010600,1165010600,서울특별시 서초구 잠원동,5,,1165000000,잠원동,
1165010700,11,650,107,00,1165010700,1165010700,서울특별시 서초구 반포동,6,,1165000000,반포동,
1165010800,11,650,108,00,1165010800,1165010800,서울특별시 서초구 서초동,7,,1165000000,서초동,
1165010900,11,650,109,00,1165010900,1165010900,서울특별시 서초구 내곡동,8,,1165000000,내곡동,
1165011000,11,650,110,00,1165011000,1165011000,서울특별시 서초구 염곡동,9,,1165000000,염곡동,
1165011100,11,650,111,00,1165011100,1165011100,서울특별시 서초구 신원동,10,,1165000000,신원동,
1168010100,11,680,101,00,1168010100,1168010100,서울특별시 강남구 역삼동,1,,1168000000,역삼동,
1168010300,11,680,103,00,1168010300,1168010300,서울특별시 강남구 개포동,3,,1168000000,개포동,
1168010400,11,680,104,00,1168010400,1168010400,서울특별시 강남구 청담동,4,,1168000000,청담동,
1168010500,11,680,105,00,1168010500,1168010500,서울특별시 강남구 삼성동,5,,1168000000,삼성동,
1168010600,11,680,106,00,1168010600,1168010600,서울특별시 강남구 대치동,6,,1168000000,대치동,
1168010700,11,680,107,00,1168010700,1168010700,서울특별시 강남구 신사동,7,,1168000000,신사동,
1168010800,11,680,108,00,1168010800,1168010800,서울특별시 강남구 논현동,8,,1168000000,논현동,
1168011000,11,680,110,00,1168011000,1168011000,서울특별시 강남구 압구정동,9,,1168000000,압구정동,
1168011100,11,680,111,00,1168011100,1168011100,서울특별시 강남구 세곡동,10,,1168000000,세곡동,
1168011200,11,680,112,00,1168011200,1168011200,서울특별시 강남구 자곡동,11,,1168000000,자곡동,
1168011300,11,680,113,00,1168011300,1168011300,서울특별시 강남구 율현동,12,,1168000000,율현동,
1168011400,11,680,114,00,1168011400,1168011400,서울특별시 강남구 일원동,13,,1168000000,일원동,
1168011500,11,680,115,00,1168011500,1168011500,서울특별시 강남구 수서동,14,,1168000000,수서동,
1168011800,11,680,118,00,1168011800,1168011800,서울특별시 강남구 도곡동,15,,1168000000,도곡동,
1159010100,11,590,101,00,1159010100,1159010100,서울특별시 동작구 노량진동,1,,1159000000,노량진동,
1159010200,11,590,102,00,1159010200,1159010200,서울특별시 동작구 상도동,2,,1159000000,상도동,
1159010300,11,590,103,00,1159010300,1159010300,서울특별시 동작구 상도1동,3,,1159000000,상도1동,
1159010400,11,590,104,00,1159010400,1159010400,서울특별시 동작구 본동,4,,1159000000,본동,
1159010500,11,590,105,00,1159010500,1159010500,서울특별시 동작구 흑석동,5,,1159000000,흑석동,
1159010600,11,590,106,00,1159010600,1159010600,서울특별시 동작구 동작동,6,,1159000000,동작동,
1159010700,11,590,107,00,1159010700,1159010700,서울특별시 동작구 사당동,7,,1159000000,사당동,
1159010800,11,590,108,00,1159010800,1159010800,서울특별시 동작구 대방동,8,,1159000000,대방동,
1159010900,11,590,109,00,1159010900,1159010900,서울특별시 동작구 신대방동,9,,1159000000,신대방동,
1162000000,11,620,000,00,1162000000,1162000000,서울특별시 관악구,21,,1100000000,관악구,
1162010100,11,620,101,00,1162010100,1162010100,서울특별시 관악구 봉천동,1,,1162000000,봉천동,20000101
1162010200,11,620,102,00,1162010200,1162010200,서울특별시 관악구 신림동,2,,1162000000,신림동,
1162010300,11,620,103,00,1162010300,1162010300,서울특별시 관악구 남현동,3,,1162000000,남현동,
1165000000,11,650,000,00,1165000000,1165000000,서울특별시 서초구,22,,1100000000,서초구,
1165010100,11,650,101,00,1165010100,1165010100,서울특별시 서초구 방배동,1,,1165000000,방배동,
1156010100,11,560,101,00,1156010100,1156010100,서울특별시 영등포구 영등포동,1,,1156000000,영등포동,
1156010200,11,560,102,00,1156010200,1156010200,서울특별시 영등포구 영등포동1가,2,,1156000000,영등포동1가,
1156010300,11,560,103,00,1156010300,1156010300,서울특별시 영등포구 영등포동2가,3,,1156000000,영등포동2가,
1156010400,11,560,104,00,1156010400,1156010400,서울특별시 영등포구 영등포동3가,4,,1156000000,영등포동3가,
1156010500,11,560,105,00,1156010500,1156010500,서울특별시 영등포구 영등포동4가,5,,1156000000,영등포동4가,
1156010600,11,560,106,00,1156010600,1156010600,서울특별시 영등포구 영등포동5가,6,,1156000000,영등포동5가,
1156010700,11,560,107,00,1156010700,1156010700,서울특별시 영등포구 영등포동6가,7,,1156000000,영등포동6가,
1156010800,11,560,108,00,1156010800,1156010800,서울특별시 영등포구 영등포동7가,8,,1156000000,영등포동7가,
1156010900,11,560,109,00,1156010900,1156010900,서울특별시 영등포구 영등포동8가,9,,1156000000,영등포동8가,
1156011000,11,560,110,00,1156011000,1156011000,서울특별시 영등포구 여의도동,10,,1156000000,여의도동,
1156011100,11,560,111,00,1156011100,1156011100,서울특별시 영등포구 당산동1가,11,,1156000000,당산동1가,
1156011200,11,560,112,00,1156011200,1156011200,서울특별시 영등포구 당산동2가,12,,1156000000,당산동2가,
1156011300,11,560,113,00,1156011300,1156011300,서울특별시 영등포구 당산동3가,13,,1156000000,당산동3가,
1156011400,11,560,114,00,1156011400,1156011400,서울특별시 영등포구 당산동4가,14,,1156000000,당산동4가,
