아파트명,건축년도,전용면적,거래금액,층,동,거래유형,계약년도,계약월,계약일,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id
현대3차,1997.0,140.54,"78,000",18,306,직거래,2024,9,2,,,24.09.04,,개인,개인,,영등포구,대림동,실거래,2024-09-21
공작,1976.0,93.06,"239,500",11,,중개거래,2024,9,3,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21
현대3차,1997.0,59.83,"79,500",8,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21
래미안당산1차,1995.0,84.99,"127,000",19,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,당산동,실거래,2024-09-21
e편한세상영등포아델포레,2020.0,59.968,"105,000",15,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21
G밸리소홈,2018.0,16.1,"15,000",12,,직거래,2024,9,7,,,,,개인,개인,,영등포구,대림동,실거래,2024-09-21
포레나영등포센트럴,2020.0,84.8025,"139,500",20,,중개거래,2024,9,2,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21
한보구암마을,1999.0,59.58,"72,000",12,,중개거래,2024,9,1,,,,,개인,개인,"서울 강서구, 서울 마포구",강서구,가양동,실거래,2024-09-21
곰달래,1997.0,84.42,"50,000",2,,중개거래,2024,9,14,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
"우장산아이파크,이편한세상",2008.0,114.98,"145,000",19,,중개거래,2024,9,1,,,,,개인,개인,서울 강서구,강서구,화곡동,실거래,2024-09-21
마곡삼성아파트,1998.0,59.97,"65,000",5,,중개거래,2024,9,9,,,,,개인,개인,서울 강서구,강서구,마곡동,실거래,2024-09-21
청솔,1994.0,49.2,"51,900",2,,중개거래,2024,9,8,,,,,개인,개인,"서울 강동구, 서울 강서구",강서구,방화동,실거래,2024-09-21
태승훼미리아파트5차,2010.0,61.14,"64,500",3,,중개거래,2024,9,2,,,,,개인,개인,"서울 강서구, 서울 마포구",강서구,내발산동,실거래,2024-09-21
"등촌7,8단지주공아파트",1994.0,41.85,"56,000",12,,중개거래,2024,9,6,,,,,개인,개인,서울 강서구,강서구,등촌동,실거래,2024-09-21
