아파트명,계약일,건축년도,전용면적,거래금액,층,동,거래유형,계약해지여부,계약해지사유발생일,등기일자,권리구분,매수자,매도자,중개사소재지,시군구코드,법정동,거래구분,date_id,신규거래
관악산휴먼시아2단지,2024-09-04,2008.0,59.96,"59,000",16,,중개거래,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
동부,2024-09-02,1993.0,50.57,"61,800",12,,중개거래,,,,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
관악산휴먼시아1단지,2024-09-05,2008.0,84.97,"67,700",12,106,중개거래,,,24.09.05,,개인,개인,서울 관악구,관악구,신림동,실거래,2024-09-21,nan
현대(관악),2024-09-01,1992.0,105.84,"90,000",5,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
현대(관악),2024-09-01,1992.0,68.8,"78,000",7,,중개거래,,,,,개인,개인,서울 관악구,관악구,봉천동,실거래,2024-09-21,nan
신동아,2024-09-09,1981.0,139.74,"350,000",7,,중개거래,,,,,개인,개인,서울 서초구,서초구,방배동,실거래,2024-09-21,nan
서초동삼성쉐르빌2,2024-09-05,2002.0,35.22,"27,500",3,,직거래,,,24.09.06,,개인,개인,,서초구,서초동,실거래,2024-09-21,nan
쌍용예가클래식,2024-09-04,2006.0,89.844,"175,000",4,,중개거래,,,,,개인,개인,서울 서초구,서초구,방배동,실거래,2024-09-21,nan
신대방경남,2024-09-10,2003.0,78.19,"90,000",1,,직거래,,,,,개인,개인,,동작구,신대방동,실거래,2024-09-21,nan
청운아파트,2024-09-03,1994.0,61.7,"29,000",1,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
래미안상도3차,2024-09-10,2004.0,114.97,"156,500",14,,중개거래,,,,,개인,개인,"서울 관악구, 서울 동작구",동작구,상도동,실거래,2024-09-21,nan
힐스테이트 상도 센트럴파크,2024-09-12,2012.0,84.7954,"148,000",13,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
e편한세상상도노빌리티,2024-09-03,2018.0,84.9704,"165,000",6,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
흑석동양아파트,2024-09-07,2003.0,59.511,"93,500",10,,중개거래,,,,,개인,개인,서울 동작구,동작구,흑석동,실거래,2024-09-21,nan
보라매삼성쉐르빌,2024-09-02,2003.0,120.59,"147,000",11,,중개거래,,,,,개인,개인,서울 동작구,동작구,신대방동,실거래,2024-09-21,nan
경향렉스빌,2024-09-09,2002.0,84.5802,"83,000",3,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
대방동현대,2024-09-09,1994.0,84.96,"107,200",19,,중개거래,,,,,개인,개인,서울 동작구,동작구,대방동,실거래,2024-09-21,nan
두산위브트레지움2차,2024-09-03,2016.0,84.9736,"148,500",12,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
이수푸르지오더프레티움,2024-09-08,2021.0,84.9633,"190,000",4,,중개거래,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21,nan
대림아파트,2024-09-06,1993.0,59.84,"98,000",6,,중개거래,,,,,개인,개인,서울 동작구,동작구,대방동,실거래,2024-09-21,nan
흑석한강푸르지오,2024-09-08,2012.0,84.98,"162,000",6,,중개거래,,,,,개인,개인,서울 동작구,동작구,흑석동,실거래,2024-09-21,nan
동작상떼빌,2024-09-07,2006.0,84.98,"91,000",19,,중개거래,,,,,개인,개인,서울 동작구,동작구,신대방동,실거래,2024-09-21,nan
대우유로카운티,2024-09-04,2003.0,142.129,"132,750",18,,중개거래,,,,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
신동아5,2024-09-07,1998.0,114.68,"120,000",12,,중개거래,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21,nan
두산위브트레지움,2024-09-07,2011.0,59.773,"129,000",19,,중개거래,,,,,개인,개인,서울 동작구,동작구,사당동,실거래,2024-09-21,nan
상도현대,2024-09-02,2003.0,59.72,"66,000",14,,중개거래,,,,,개인,개인,서울 관악구,동작구,상도동,실거래,2024-09-21,nan
메가스터디타워,2024-09-03,2015.0,16.01,"17,800",11,,중개거래,,,,,개인,개인,서울 동작구,동작구,노량진동,실거래,2024-09-21,nan
상도역롯데캐슬파크엘,2024-09-01,2021.0,59.9818,"137,000",10,105,중개거래,,,24.09.02,,개인,개인,서울 동작구,동작구,상도동,실거래,2024-09-21,nan
래미안상도3차,2024-09-09,2004.0,84.96,"140,000",5,,중개거래,,,,,개인,개인,"경기 시흥시, 서울 동작구",동작구,상도동,실거래,2024-09-21,nan
무지개,2024-09-10,1980.0,53.75,"46,500",2,,중개거래,,,,,개인,개인,"경기 광명시, 서울 금천구",금천구,시흥동,실거래,2024-09-21,nan
남서울힐스테이트,2024-09-19,2014.0,59.817,"76,500",20,,중개거래,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
벽산,2024-09-19,2000.0,84.99,"40,000",14,,직거래,,,,,개인,개인,,금천구,시흥동,실거래,2024-09-21,nan
금천롯데캐슬골드파크3차,2024-09-11,2018.0,59.9662,"85,100",22,,중개거래,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21,nan
두산,2024-09-07,1998.0,59.84,"60,500",9,,중개거래,,,,,개인,개인,"서울 구로구, 서울 금천구",금천구,가산동,실거래,2024-09-21,nan
두산,2024-09-06,1998.0,134.95,"86,000",7,,중개거래,,,,,개인,개인,서울 금천구,금천구,가산동,실거래,2024-09-21,nan
시흥(817-29),2024-09-12,1975.0,44.13,"27,000",1,,중개거래,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
벽산,2024-09-11,2000.0,84.99,"41,000",17,,직거래,,,,,개인,개인,,금천구,시흥동,실거래,2024-09-21,nan
무지개,2024-09-07,1980.0,53.75,"46,500",8,,중개거래,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
삼익,2024-09-07,1999.0,59.76,"44,700",14,,중개거래,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
금천롯데캐슬골드파크3차,2024-09-06,2018.0,59.9672,"92,000",42,,중개거래,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21,nan
관악산벽산타운5,2024-09-06,2004.0,59.34,"44,400",6,,중개거래,,,,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
독산주공14단지,2024-09-05,1990.0,44.89,"36,500",12,1403,직거래,,,24.09.05,,개인,개인,,금천구,독산동,실거래,2024-09-21,nan
금천현대,2024-09-02,2002.0,84.83,"69,000",7,,중개거래,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21,nan
세진(1037-31),2024-09-03,2005.0,60.87,"38,000",3,,중개거래,,,,,개인,개인,서울 금천구,금천구,독산동,실거래,2024-09-21,nan
남서울건영2,2024-09-03,1989.0,41.34,"29,500",2,3,중개거래,,,24.09.09,,개인,개인,서울 금천구,금천구,시흥동,실거래,2024-09-21,nan
강변래미안,2024-09-07,2002.0,79.43,"125,500",15,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,당산동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-03,2023.0,113.9657,"413,400",30,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
삼성래미안,2024-09-07,2001.0,114.87,"98,000",7,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,신길동,실거래,2024-09-21,nan
아크로타워스퀘어,2024-09-07,2017.0,84.69,"167,000",12,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21,nan
여의도의아침,2024-09-19,2012.0,12.04,"11,500",8,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,영등포동1가,실거래,2024-09-21,nan
한양,2024-09-09,1975.0,149.59,"309,000",11,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,101.9509,"395,400",43,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,117.335,"417,300",16,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,101.9509,"376,100",30,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-03,2023.0,132.5963,"493,400",20,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,101.9509,"367,500",36,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,101.9509,"376,100",28,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
당산현대3차,2024-09-02,1988.0,84.93,"117,500",3,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,당산동4가,실거래,2024-09-21,nan
양평한신,2024-09-07,1996.0,59.94,"83,700",6,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,양평동5가,실거래,2024-09-21,nan
당산삼성래미안4차,2024-09-03,2003.0,115.78,"186,000",11,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,당산동5가,실거래,2024-09-21,nan
아크로타워스퀘어,2024-09-10,2017.0,59.7,"139,500",24,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,영등포동7가,실거래,2024-09-21,nan
시범,2024-09-12,1971.0,118.12,"265,000",12,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21,nan
공작,2024-09-09,1976.0,91.97,"255,000",4,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,여의도동,실거래,2024-09-21,nan
힐스테이트클래시안,2024-09-04,2020.0,59.91,"130,000",7,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,신길동,실거래,2024-09-21,nan
영등포중흥에스클래스,2024-09-06,2021.0,59.97,"106,000",24,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,양평동1가,실거래,2024-09-21,nan
헤렌어반,2024-09-02,2011.0,13.216,"10,950",2,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,영등포동1가,실거래,2024-09-21,nan
브라이튼여의도,2024-09-02,2023.0,101.9509,"376,100",26,,직거래,,,,,법인,개인,,영등포구,여의도동,실거래,2024-09-21,nan
늘푸른,2024-09-07,2008.0,78.58,"50,000",6,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21,nan
e편한세상 문래 에듀플라츠,2024-09-08,2020.0,59.9854,"100,500",5,,중개거래,,,,,개인,개인,"경기 광주시, 서울 영등포구",영등포구,문래동6가,실거래,2024-09-21,nan
현대2,2024-09-07,1986.0,81.2,"92,000",1,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,당산동4가,실거래,2024-09-21,nan
영등포자이르네,2024-09-07,2022.0,49.01,"62,700",7,,중개거래,,,,,개인,개인,서울 영등포구,영등포구,대림동,실거래,2024-09-21,nan
