aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm,date_id
 ,메가스터디타워,11590-4413,57,1,2015,개인, , ,"17,800",3,9,2024,중개거래,서울 동작구,16.01,11,57-1,1,N, ,노량진로,140,0,3119011,1,11590,,11590,개인,10100,노량진동,2024-09-15
105,상도역롯데캐슬파크엘,11590-4993,904,0,2021,개인, , ,"137,000",1,9,2024,중개거래,서울 동작구,59.9818,10,904,1,N,24.09.02,양녕로,220,0,3005080,1,11590,0.0,11590,개인,10200,상도동,2024-09-15
 ,래미안상도3차,11590-127,431,0,2004,개인, , ,"140,000",9,9,2024,중개거래,"경기 시흥시, 서울 동작구",84.96,5,431,1,N, ,상도로53길,8,0,4157376,1,11590,0.0,11590,개인,10200,상도동,2024-09-15
 ,두산,11545-2,769,0,1998,개인, , ,"86,000",6,9,2024,중개거래,서울 금천구,134.95,7,769,1,N, ,가산로,99,0,3117003,1,11545,0.0,11545,개인,10100,가산동,2024-09-15
 ,시흥(817-29),11545-45,817,29,1975,개인, , ,"27,000",12,9,2024,중개거래,서울 금천구,44.13,1,817-29,1,N, ,독산로24나길,13,0,4151069,1,11545,0.0,11545,개인,10300,시흥동,2024-09-15
 ,벽산,11545-39,1010,0,2000,개인, , ,"41,000",11,9,2024,직거래, ,84.99,17,1010,1,N, ,금하로,793,0,3000024,1,11545,0.0,11545,개인,10300,시흥동,2024-09-15
 ,무지개,11545-38,109,1,1980,개인, , ,"46,500",7,9,2024,중개거래,서울 금천구,53.75,8,109-1,1,N, ,시흥대로73길,11,0,4151335,1,11545,0.0,11545,개인,10300,시흥동,2024-09-15
 ,삼익,11545-41,5,13,1999,개인, , ,"44,700",7,9,2024,중개거래,서울 금천구,59.76,14,5-13,1,N, ,독산로50길,89,0,4151113,2,11545,0.0,11545,개인,10300,시흥동,2024-09-15
 ,금천롯데캐슬골드파크3차,11545-2479,1155,0,2018,개인, , ,"92,000",6,9,2024,중개거래,서울 금천구,59.9672,42,1155,1,N, ,시흥대로,291,0,2005010,0,11545,,11545,개인,10200,독산동,2024-09-15
 ,관악산벽산타운5,11545-55,1013,0,2004,개인, , ,"44,400",6,9,2024,중개거래,서울 금천구,59.34,6,1013,1,N, ,금하로,816,0,3000024,1,11545,0.0,11545,개인,10300,시흥동,2024-09-15
1403,독산주공14단지,11545-17,1088,0,1990,개인, , ,"36,500",5,9,2024,직거래, ,44.89,12,1088,1,N,24.09.05,한내로,69,54,3117008,1,11545,0.0,11545,개인,10200,독산동,2024-09-15
 ,금천현대,11545-23,711,2,2002,개인, , ,"69,000",2,9,2024,중개거래,서울 금천구,84.83,7,711-2,1,N, ,벚꽃로,73,0,3116013,2,11545,0.0,11545,개인,10200,독산동,2024-09-15
 ,세진(1037-31),11545-170,1037,31,2005,개인, , ,"38,000",3,9,2024,중개거래,서울 금천구,60.87,3,1037-31,1,N, ,독산로,211,0,3117004,1,11545,0.0,11545,개인,10200,독산동,2024-09-15
